紧凑型SUV,紧凑型SUV,1.0
紧凑型SUV,跑车,0.15546491217187214
紧凑型SUV,中型SUV,0.5073175468578833
紧凑型SUV,紧凑型车,0.8916721775093657
紧凑型SUV,小型SUV,0.751814424815755
紧凑型SUV,中大型SUV,0.19224380419373974
紧凑型SUV,小型车,0.7922191677870754
紧凑型SUV,大型SUV,0.09536176829534748
紧凑型SUV,MPV,0.4043419781606431
紧凑型SUV,轻客,0.2956893248271142
紧凑型SUV,中大型车,0.17540008940226945
紧凑型SUV,微面,0.33277013277392853
紧凑型SUV,中型车,0.6865364699851487
紧凑型SUV,微卡,0.3518331613853788
紧凑型SUV,大型车,0.08408434022053543
紧凑型SUV,微型车,0.5133187255126052
紧凑型SUV,皮卡,0.1621357774369317
跑车,紧凑型SUV,0.15546491217187214
跑车,跑车,1.0
跑车,中型SUV,0.858870921960039
跑车,紧凑型车,0.08726015329782451
跑车,小型SUV,0.03963612217229227
跑车,中大型SUV,0.9746716825610852
跑车,小型车,0.04021440252136543
跑车,大型SUV,0.8541175960229951
跑车,MPV,0.5263760343782493
跑车,轻客,0.16387146461545476
跑车,中大型车,0.9715501119270975
跑车,微面,0.011523297529311225
跑车,中型车,0.6872149628198962
跑车,微卡,0.0638651837495698
跑车,大型车,0.9653782446957778
跑车,微型车,0.02363881665083501
跑车,皮卡,0.842251216376369
中型SUV,紧凑型SUV,0.5073175468578833
中型SUV,跑车,0.858870921960039
中型SUV,中型SUV,1.0000000000000002
中型SUV,紧凑型车,0.3934393175999609
中型SUV,小型SUV,0.24943442189551177
中型SUV,中大型SUV,0.9007632660775892
中型SUV,小型车,0.2519410088107581
中型SUV,大型SUV,0.6593272224455379
中型SUV,MPV,0.576833278053736
中型SUV,轻客,0.2441351763783686
中型SUV,中大型车,0.901870139790499
中型SUV,微面,0.141368677809361
中型SUV,中型车,0.8839125421595116
中型SUV,微卡,0.1915163831850172
中型SUV,大型车,0.7560089950111428
中型SUV,微型车,0.14861866111850205
中型SUV,皮卡,0.679095553439692
紧凑型车,紧凑型SUV,0.8916721775093657
紧凑型车,跑车,0.08726015329782451
紧凑型车,中型SUV,0.3934393175999609
紧凑型车,紧凑型车,1.0
紧凑型车,小型SUV,0.7123258672491818
紧凑型车,中大型SUV,0.09575966311787233
紧凑型车,小型车,0.836934616635896
紧凑型车,大型SUV,0.015132734428175133
紧凑型车,MPV,0.2209979950764292
紧凑型车,轻客,0.1399479181378999
紧凑型车,中大型车,0.09681013739667495
紧凑型车,微面,0.2028890714097072
紧凑型车,中型车,0.67439661454123
紧凑型车,微卡,0.20131300074309502
紧凑型车,大型车,0.013484880410045415
紧凑型车,微型车,0.5058811871146485
紧凑型车,皮卡,0.05667137557696697
小型SUV,紧凑型SUV,0.751814424815755
小型SUV,跑车,0.03963612217229227
小型SUV,中型SUV,0.24943442189551177
小型SUV,紧凑型车,0.7123258672491818
小型SUV,小型SUV,1.0
小型SUV,中大型SUV,0.028340771629082863
小型SUV,小型车,0.8412650795305022
小型SUV,大型SUV,0.01220255773082211
小型SUV,MPV,0.48778380078086975
小型SUV,轻客,0.47287219530763236
小型SUV,中大型车,0.0243689514348726
小型SUV,微面,0.5414597134800248
小型SUV,中型车,0.3423281671070099
小型SUV,微卡,0.5442769471013222
小型SUV,大型车,0.010092962111675798
小型SUV,微型车,0.7905838960030455
小型SUV,皮卡,0.12750296259989455
中大型SUV,紧凑型SUV,0.19224380419373974
中大型SUV,跑车,0.9746716825610852
中大型SUV,中型SUV,0.9007632660775892
中大型SUV,紧凑型车,0.09575966311787233
中大型SUV,小型SUV,0.028340771629082863
中大型SUV,中大型SUV,0.9999999999999998
中大型SUV,小型车,0.027839716951011506
中大型SUV,大型SUV,0.850865046530586
中大型SUV,MPV,0.544528386242666
中大型SUV,轻客,0.16381947943601127
中大型SUV,中大型车,0.977823205569712
中大型SUV,微面,0.008953013350382453
中大型SUV,中型车,0.7100832221003595
中大型SUV,微卡,0.06270422061347555
中大型SUV,大型车,0.9333125034638969
中大型SUV,微型车,0.019963674747321643
中大型SUV,皮卡,0.8370614708347568
小型车,紧凑型SUV,0.7922191677870754
小型车,跑车,0.04021440252136543
小型车,中型SUV,0.2519410088107581
小型车,紧凑型车,0.836934616635896
小型车,小型SUV,0.8412650795305022
小型车,中大型SUV,0.027839716951011506
小型车,小型车,1.0
小型车,大型SUV,0.009018054552575728
小型车,MPV,0.304508091121185
小型车,轻客,0.25970611243965025
小型车,中大型车,0.02523347456466938
小型车,微面,0.32164524200408484
小型车,中型车,0.4456278025919093
小型车,微卡,0.3183224249144834
小型车,大型车,0.00620320660752483
小型车,微型车,0.7114932529722974
小型车,皮卡,0.07486370927501054
大型SUV,紧凑型SUV,0.09536176829534748
大型SUV,跑车,0.8541175960229951
大型SUV,中型SUV,0.6593272224455379
大型SUV,紧凑型车,0.015132734428175133
大型SUV,小型SUV,0.01220255773082211
大型SUV,中大型SUV,0.850865046530586
大型SUV,小型车,0.009018054552575728
大型SUV,大型SUV,1.0
大型SUV,MPV,0.5683346300843298
大型SUV,轻客,0.18794329111273733
大型SUV,中大型车,0.7545111379574975
大型SUV,微面,0.004215001316676753
大型SUV,中型车,0.46341978373894716
大型SUV,微卡,0.05899971982366814
大型SUV,大型车,0.9119470067145089
大型SUV,微型车,0.007071013342932847
大型SUV,皮卡,0.9761734971536391
MPV,紧凑型SUV,0.4043419781606431
MPV,跑车,0.5263760343782493
MPV,中型SUV,0.576833278053736
MPV,紧凑型车,0.2209979950764292
MPV,小型SUV,0.48778380078086975
MPV,中大型SUV,0.544528386242666
MPV,小型车,0.304508091121185
MPV,大型SUV,0.5683346300843298
MPV,MPV,0.9999999999999999
MPV,轻客,0.8639954286055578
MPV,中大型车,0.4956676812972679
MPV,微面,0.7774468217324663
MPV,中型车,0.41277762211520386
MPV,微卡,0.8121217374269483
MPV,大型车,0.5325250377374725
MPV,微型车,0.5502938778186716
MPV,皮卡,0.720220624236801
轻客,紧凑型SUV,0.2956893248271142
轻客,跑车,0.16387146461545476
轻客,中型SUV,0.2441351763783686
轻客,紧凑型车,0.1399479181378999
轻客,小型SUV,0.47287219530763236
轻客,中大型SUV,0.16381947943601127
轻客,小型车,0.25970611243965025
轻客,大型SUV,0.18794329111273733
轻客,MPV,0.8639954286055578
轻客,轻客,0.9999999999999998
轻客,中大型车,0.14853190163665034
轻客,微面,0.9530701361448977
轻客,中型车,0.13570946453717975
轻客,微卡,0.9729045458300242
轻客,大型车,0.16976161870976142
轻客,微型车,0.5834127778738816
轻客,皮卡,0.38761958765430987
中大型车,紧凑型SUV,0.17540008940226945
中大型车,跑车,0.9715501119270975
中大型车,中型SUV,0.901870139790499
中大型车,紧凑型车,0.09681013739667495
中大型车,小型SUV,0.0243689514348726
中大型车,中大型SUV,0.977823205569712
中大型车,小型车,0.02523347456466938
中大型车,大型SUV,0.7545111379574975
中大型车,MPV,0.4956676812972679
中大型车,轻客,0.14853190163665034
中大型车,中大型车,1.0
中大型车,微面,0.009048710291527734
中大型车,中型车,0.7314576918670523
中大型车,微卡,0.058434964878303505
中大型车,大型车,0.9042146559927375
中大型车,微型车,0.023462523581871078
中大型车,皮卡,0.7454866895416008
微面,紧凑型SUV,0.33277013277392853
微面,跑车,0.011523297529311225
微面,中型SUV,0.141368677809361
微面,紧凑型车,0.2028890714097072
微面,小型SUV,0.5414597134800248
微面,中大型SUV,0.008953013350382453
微面,小型车,0.32164524200408484
微面,大型SUV,0.004215001316676753
微面,MPV,0.7774468217324663
微面,轻客,0.9530701361448977
微面,中大型车,0.009048710291527734
微面,微面,1.0
微面,中型车,0.08609773910489558
微面,微卡,0.9680787954577099
微面,大型车,0.002882042445416029
微面,微型车,0.6309847856281874
微面,皮卡,0.21049032122694505
中型车,紧凑型SUV,0.6865364699851487
中型车,跑车,0.6872149628198962
中型车,中型SUV,0.8839125421595116
中型车,紧凑型车,0.67439661454123
中型车,小型SUV,0.3423281671070099
中型车,中大型SUV,0.7100832221003595
中型车,小型车,0.4456278025919093
中型车,大型SUV,0.46341978373894716
中型车,MPV,0.41277762211520386
中型车,轻客,0.13570946453717975
中型车,中大型车,0.7314576918670523
中型车,微面,0.08609773910489558
中型车,中型车,0.9999999999999998
中型车,微卡,0.12331467031538684
中型车,大型车,0.5698032337388527
中型车,微型车,0.18868249332504922
中型车,皮卡,0.4729983287994922
微卡,紧凑型SUV,0.3518331613853788
微卡,跑车,0.0638651837495698
微卡,中型SUV,0.1915163831850172
微卡,紧凑型车,0.20131300074309502
微卡,小型SUV,0.5442769471013222
微卡,中大型SUV,0.06270422061347555
微卡,小型车,0.3183224249144834
微卡,大型SUV,0.05899971982366814
微卡,MPV,0.8121217374269483
微卡,轻客,0.9729045458300242
微卡,中大型车,0.058434964878303505
微卡,微面,0.9680787954577099
微卡,中型车,0.12331467031538684
微卡,微卡,1.0
微卡,大型车,0.05360430757119799
微卡,微型车,0.6226073178039814
微卡,皮卡,0.26618901880202644
大型车,紧凑型SUV,0.08408434022053543
大型车,跑车,0.9653782446957778
大型车,中型SUV,0.7560089950111428
大型车,紧凑型车,0.013484880410045415
大型车,小型SUV,0.010092962111675798
大型车,中大型SUV,0.9333125034638969
大型车,小型车,0.00620320660752483
大型车,大型SUV,0.9119470067145089
大型车,MPV,0.5325250377374725
大型车,轻客,0.16976161870976142
大型车,中大型车,0.9042146559927375
大型车,微面,0.002882042445416029
大型车,中型车,0.5698032337388527
大型车,微卡,0.05360430757119799
大型车,大型车,1.0
大型车,微型车,0.006348993452381782
大型车,皮卡,0.8961499897769529
微型车,紧凑型SUV,0.5133187255126052
微型车,跑车,0.02363881665083501
微型车,中型SUV,0.14861866111850205
微型车,紧凑型车,0.5058811871146485
微型车,小型SUV,0.7905838960030455
微型车,中大型SUV,0.019963674747321643
微型车,小型车,0.7114932529722974
微型车,大型SUV,0.007071013342932847
微型车,MPV,0.5502938778186716
微型车,轻客,0.5834127778738816
微型车,中大型车,0.023462523581871078
微型车,微面,0.6309847856281874
微型车,中型车,0.18868249332504922
微型车,微卡,0.6226073178039814
微型车,大型车,0.006348993452381782
微型车,微型车,1.0
微型车,皮卡,0.1395304850549109
皮卡,紧凑型SUV,0.1621357774369317
皮卡,跑车,0.842251216376369
皮卡,中型SUV,0.679095553439692
皮卡,紧凑型车,0.05667137557696697
皮卡,小型SUV,0.12750296259989455
皮卡,中大型SUV,0.8370614708347568
皮卡,小型车,0.07486370927501054
皮卡,大型SUV,0.9761734971536391
皮卡,MPV,0.720220624236801
皮卡,轻客,0.38761958765430987
皮卡,中大型车,0.7454866895416008
皮卡,微面,0.21049032122694505
皮卡,中型车,0.4729983287994922
皮卡,微卡,0.26618901880202644
皮卡,大型车,0.8961499897769529
皮卡,微型车,0.1395304850549109
皮卡,皮卡,1.0000000000000002
